,Close,RSI,MACD_Histogram,ATR,MFI,SO_%K,SO_%D,ADX,+DI,-DI,CMF,ROC,PSAR
Close,1.0,-0.019832312004221,-0.009407168016463045,0.8108762824944655,-0.09132730951456804,-0.07267289487642706,-0.07321325194315371,-0.02955220860960427,-0.05569375377990336,-0.061685122452463895,-0.4314163701778342,-0.012813477501294713,0.9888851598091678
RSI,-0.019832312004221,1.0,0.6231708398597279,0.09981438220923682,0.8154651191686064,0.7898773514395911,0.8383649569313915,0.2626553192264747,0.8604914411080309,-0.7357548156796446,0.45930579577657593,0.7607601779732585,-0.0999921577302694
MACD_Histogram,-0.009407168016463045,0.6231708398597279,1.0,-0.0011881335159516877,0.47607542083285215,0.611748254466123,0.6620897244494759,0.1348364949656173,0.566452136747497,-0.48357758075683743,0.2648068231057248,0.6879577837834175,-0.11390194334412686
ATR,0.8108762824944655,0.09981438220923682,-0.0011881335159516877,1.0,0.04459468937575437,0.021136588324341173,0.035990480404743626,0.11621644327278782,0.08776372322833838,-0.0801701269217826,-0.20986125554520063,0.10604145734053555,0.7973784148668348
MFI,-0.09132730951456804,0.8154651191686064,0.47607542083285215,0.04459468937575437,1.0,0.6512978205166247,0.6946588260090325,0.2866342643500831,0.6895246752007959,-0.5505808348074134,0.48936364224065226,0.6177498612481247,-0.15134525863332687
SO_%K,-0.07267289487642706,0.7898773514395911,0.611748254466123,0.021136588324341173,0.6512978205166247,1.0,0.9274099254909487,0.22128698289114887,0.6241667812461102,-0.49047903099152385,0.49847899822189895,0.6878636150965708,-0.17488009114253186
SO_%D,-0.07321325194315371,0.8383649569313915,0.6620897244494759,0.035990480404743626,0.6946588260090325,0.9274099254909487,1.0,0.2426404347508483,0.6933296235267583,-0.5548024452650739,0.527674963491391,0.7221458779862934,-0.17309299564665875
ADX,-0.02955220860960427,0.2626553192264747,0.1348364949656173,0.11621644327278782,0.2866342643500831,0.22128698289114887,0.2426404347508483,1.0,0.3008760477643086,-0.13170236567626778,0.233282245200983,0.2875970692965759,-0.04130140392967039
+DI,-0.05569375377990336,0.8604914411080309,0.566452136747497,0.08776372322833838,0.6895246752007959,0.6241667812461102,0.6933296235267583,0.3008760477643086,1.0,-0.7032735564149805,0.4232372806556104,0.7527208123652834,-0.11699752967031447
-DI,-0.061685122452463895,-0.7357548156796446,-0.48357758075683743,-0.0801701269217826,-0.5505808348074134,-0.49047903099152385,-0.5548024452650739,-0.13170236567626778,-0.7032735564149805,1.0,-0.23185282364220317,-0.6473915800367267,-0.008574017200311796
CMF,-0.4314163701778342,0.45930579577657593,0.2648068231057248,-0.20986125554520063,0.48936364224065226,0.49847899822189895,0.527674963491391,0.233282245200983,0.4232372806556104,-0.23185282364220317,1.0,0.405147416233632,-0.46800606315400434
ROC,-0.012813477501294713,0.7607601779732585,0.6879577837834175,0.10604145734053555,0.6177498612481247,0.6878636150965708,0.7221458779862934,0.2875970692965759,0.7527208123652834,-0.6473915800367267,0.405147416233632,1.0,-0.09332342181786482
PSAR,0.9888851598091678,-0.0999921577302694,-0.11390194334412686,0.7973784148668348,-0.15134525863332687,-0.17488009114253186,-0.17309299564665875,-0.04130140392967039,-0.11699752967031447,-0.008574017200311796,-0.46800606315400434,-0.09332342181786482,1.0
