Date,finbert_composite,Cleaned News
2025-01-23,0.0632,performance analysis aclass banks q2 208182 key financial metrics insights
2025-01-20,0.6836,commercial banks report 462 decline net profit q2 fy 208182 nabil leads prabhu bank sees highest growth
2024-12-16,-0.0874,revised interest rates poush nic asia nmb lead laxmi sunrise offers lowest
2024-12-10,0.04657,nrb report highlights commercial development banks net profits kartik nabil tops charts
2024-12-10,0.002573,gorakh shumsher rana appointed ceo standard chartered bank nepal
2024-11-26,0.03494,reminder last day grab dividend proposed standard chartered bank nepal limited
2024-11-19,-0.04877,standard chartered bank unveils book closure date 255 dividend calls agm mangsir 25
2024-11-15,0.2798,commercial banks revise mangsir interest rates machhapuchchhre bank leads significant cuts
2024-10-29,0.05258,standard chartered bank proposes 255 dividend fy 208081 much bonus shares cash
2024-10-25,-0.047,comparative analysis first quarter reports 20 commercial banks industry accumulates average profit rs 8116 crores q1 fy 208182
2024-10-23,0.8726,commercial banks report 2163 rise net profit q1 fy 208182 nabil leads sbl shows highest growth
2024-10-20,0.0589,nrb report highlights commercial development banks net profits bhadra nabil mnbbl icfc tops chart
2024-10-16,0.2048,commercial banks unveil kartik interest rate adjustments sanima raises rates czbil hbl implements significant cut
2024-10-01,0.5024,standard chartered bank nepal partners chhimek laghubitta bittiya sanstha enhance financial access rural areas
2024-09-22,0.01124,anirvan ghosh dastidar named banking ceo year nepal 2024
2024-09-18,-0.01576,nrb publishes net profit report shrawan global ime bank shine resunga development bank lead sectors
2024-09-16,0.3052,commercial banks revise ashwin interest rates nmb bank leads significant cuts
2024-09-08,-0.9355,commercial banks reduce base interest rates 792 amid surplus loanable funds
2024-08-16,-0.03442,commercial banks reduce interest rates bhadra nic asia nmb bank lead highest rates fixed deposits
2024-08-06,0.07404,unveiling q4 208081 comprehensive analysis leading commercial banks key financial insights
2024-08-05,0.6924,20 commercial banks report q4 fy 208081 results nabil bank tops profit charts rs 706 arba industry total hits rs 6415 arba
2024-08-04,-0.96,standard chartered bank nepal reports 451 decline net profit 1346 drop core revenue q4 fy 208081
2024-07-15,-0.1542,commercial banks reduce interest rates shrawan himalayan bank leads significant cuts
2024-07-14,0.04144,nrb report highlights commercial development banks net profits jestha nabil tops charts
2024-06-14,-0.0586,commercial banks announce new interest rates ashad mixed adjustments slight overall decrease
2024-06-12,0.1113,nrb reveals net profits commercial development banks till baisakh nabil muktinath bikas bank lead sectors
2024-06-10,-0.901,online banking services temporarily suspended system upgrades
2024-05-13,-0.1578,jestha interest rate update banks lower rates nic asia bank global ime bank oppose trend increases
2024-04-23,0.01921,delving q3 208081 performance analysis leading commercial banks key financial insights
2024-04-14,-0.659,baisakh interest rate update 13 commercial banks cut rates nmb everest stand apart increases
2024-04-10,0.1141,net profit status commercial development banks unveiled till falgun nabil earned
2024-04-07,0.691,standard chartered bank nepal expands reach new dharan branch
2024-03-29,0.928,standard chartered bank nepal secures fifth consecutive triple rating icra nepal
2024-03-14,0.04343,nrb report highlights commercial development banks net profits magh nabil tops charts
2024-03-13,-0.1367,commercial banks alter interest rates chaitra majority lower rates nic asia bucks trend increase
2024-02-29,0.04193,deep dive dynamic link commercial banks latest trading prices net worth per share insights ahead
2024-02-12,-0.0776,commercial banks adjust interest rates falgun citizens bank international reduced
2024-01-22,0.0862,performance analysis aclass banks q2 208081 key financial metrics insights
2024-01-21,-0.959,q2 reports unveils profit declines 16 commercial banks nabil bank leads amidst industrywide downturn
2024-01-19,-0.053,standard chartered bank urges shareholders claim uncollected dividend
2024-01-16,0.0739,nrb reports net profits commercial development banks till mangsir fy 208081 nabil leading chart
2024-01-14,-0.1488,commercial banks implement singledigit interest rates effective magh 01 pcbl leads significant reductions
2024-01-08,-0.9424,nepses twomonth rally sees index surge 1800 2000 levels yet banking sector faces decline amidst overall surge
2023-12-19,0.02956,nrb reveals commercial development banks net profits till kartik fy 208081 nabil takes lead
2023-12-17,0.01807,commercial banks implement interest rate adjustments following nrb directive effective today
2023-12-17,-0.003033,government records rs 125 arba profit tax collection mergers acquisitions fpos bfis meet deadline
2023-12-15,-0.01695,standard chartered bank nepal kumari bank adjust interest rates effective poush 01
2023-12-11,0.0758,standard chartered bank nepal concludes 37th agm
2023-12-08,-0.1678,standard chartered bank nepal announces enhanced parental leave benefits employees
2023-12-02,0.4402,standard chartered bank announces npr 133 crore red cross support victims jajarkotrukum earthquake
2023-11-28,-0.865,many listed companies declared dividend far last fiscal year
2023-11-24,0.1636,comparative deep dive analyzing financial metrics across commercial banks q1 8081
2023-11-22,0.05307,reminder last day grab dividend proposed standard chartered bank nepal rsdc laghubitta
2023-11-20,-0.07355,standard chartered bank unveils book closure date 19 cash dividend calls agm mangsir 24
2023-11-20,-0.04678,commercial banks adjust interest rates mangsir nic asia reduced
2023-11-03,-0.962,net profit status 1st quarter commercial banks nimb earned 12 banks reported declined profit led adbl
2023-10-30,0.011894,standard chartered bank proposes 19 cash dividend fy 207980
2023-10-18,0.0926,nrb reports net profits commercial development banks till bhadra fy 208081 gbime leading chart
2023-10-17,0.1309,commercial banks revise interest rates kartik notable changes four banks maintain stability
2023-10-02,-0.02933,reserve requirements rrr crr slr significance nepals banking sector
2023-09-26,0.843,banks finance companies report impressive profits till shrawan 208081 companies face losses
